Einverständnis;Geschlecht;Alter;Leben Sie momentan in Deutschland?;Falls Sie in Deutschland leben, in welchem Bundesland sind Sie wohnhaft?;Was ist Ihr aktueller Familienstand?;Was ist Ihre aktuelle Lebenssituation?;Was ist Ihr höchster Bildungsabschluss ?;An wie vielen Tagen in der Woche konsumieren Sie aktuelle Nachrichten?;Wie konsumieren Sie in der Regel Nachrichten?;Haben Sie bereits Erfahrung mit der Nutzung von Sprachassistenten? (Alexa, Siri etc.);Identifikationscode;Vor- und Nachteile;Allgemeine Zufriedenheit ;Informationsgehalt (Allgemein);Informationsgehalt (Spezifisch);Kontrolle über Nachrichten;Vorschläge des Sprachassistenten;Sprachausgabe (Geschwindigkeit);Umfang der Antwort;Verständnis des Sprachassistenten;Verständnis der Antworten;Verhalten des Sprachassistenten;Menschlichkeit des Sprachassistenten;Verbesserungsvorschläge;Wunschfunktion;Ich denke, dass ich das System gerne häufig benutzen würde.;Ich fand das System unnötig kompliziert.;Ich fand das System einfach zu benutzen.;Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.;Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.;Ich denke, das System enthielt zu viele Inkonsistenzen.;Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.;Ich fand das System sehr umständlich zu nutzen.;Ich fühlte mich bei der Benutzung des Systems sehr sicher.;Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden
Ja;Männlich;22;Ja;Bayern;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);7;Online (digital);Ja;0704FP;"pro: vorschlagen von Themen durch den Agenten, Tagesübersicht
con: teils falsche Betonungen/Aussprachen beim vorlesen, repetitive Sätze des Agenten";4;4;Ski-Sport;4;5;3;4;4;5;3;2;abwechslungsreichere Aussagen;Sprechgeschwindigkeit anpassen ;3;2;5;1;4;3;4;1;4;1
Ja;Weiblich;24;Ja;Nordrhein-Westfalen;Ledig;In einer Wohngemeinschaft;Bachelor;5;Online (digital), Radio, Fernseher;Ja;0804JL;"Pro: Der Assistent schlägt einem immer vor was man als Beispiel sagen kann, viele aktuelle Nachrichten, angenehme Bedienung, weil man selber die Nachrichtensuche steuert ist man aufmerksamer
Contra: Kann ich nicht in der Bahn zur Arbeit nutzen, manchmal meinte ich was anderes als der Assistent dann gemacht hat";5;4;nein;5;4;3;3;4;4;4;3;Noch mehr Vorschläge machen, auch wenn der Agent einen nicht versteht;Nachrichtenquelle auswählen können, nicht nur normale Nachrichten, sondern auch Fashion nachrichten oder aus bestimmten anderen Magazinen;5;1;5;1;5;2;5;1;5;1
Ja;Weiblich;86;Ja;Hamburg;Verheiratet;Alleine;Master;7;Zeitung (physich), Radio, Fernseher;Nein;0804MM;"Pro: man kann viele Interessante Nachrichten finden, gut das man Artikel wiederholen kann
Contra: Stimme etwas zu schnell für alte Leute, Zwischen Artikeln Zeit zum Atmen, genug Zeit zum drücken haben, Zeit zum Überlegen ob man artikel hören möchte";5;4;Nein ;4;5;5;3;5;5;4;4;Längere Pausen zwischen Artikeln, komplizierte Worte der Technik langsamer sprechen;Geschwindigkeit verlangsamen, manche Leute sind nicht so flott oder Verständnisschwierigkeiten;5;1;5;1;5;1;5;1;5;1
Ja;Männlich;19;Ja;Nordrhein-Westfalen;Ledig;Mit Ihren Eltern;Gymnasium (Abitur);5;Online (digital), Radio;Ja;0804TR;"Pro: ich muss keine Artikel lesen, ist einfach, geht schnell schneller als Instagram oder Webseiten
Contra: Hab keine Artikel über Mode gefunden, hat nicht immer die richtigen Artikel gefunden";4;5;Mode;4;5;3;3;3;5;5;4;Der soll mich besser verstehen. ;Nachrichten aus bestimmten Zeitschriften;5;2;5;1;5;1;3;1;4;1
Ja;Weiblich;14;Ja;Hamburg;Ledig;Mit Ihren Eltern;Kein Abschluss;3;Online (digital), Fernseher;Ja;0804DM;ich finde es gut, dass die nachrichten deutlich vorgelesen werden. ich finde es gut, dass es viele Auswahlmöglichkeiten gibt. manchmal werden die nachrichten etwas schnell vorgelesen und wirken etwas abgehackt.;4;5;-;3;4;2;3;5;3;4;2;-;-;3;2;4;2;4;1;4;2;5;1
Ja;Weiblich;54;Ja;Hamburg;Verheiratet;Mit Ihrem Partner;Berufsausbildung;7;Online (digital), Fernseher;Nein;0804CM;Gute Idee;4;4;nein;4;4;3;2;3;4;4;3;mehr Möglichkeiten, Informationen in einem Artikel zu vertiefen;?;4;2;4;1;4;1;5;2;4;1
Ja;Männlich;58;Ja;Hamburg;Verheiratet;Mit Ihrem Partner;Master;7;Online (digital), Fernseher;Nein;0804SM;"Pro: Man kann selber Nachrichten aussuchen:
Contra: Nachrichten passen nicht immer zur Frage";4;4;HSV;4;3;3;3;3;4;3;4;Quellenangaben, Zeitdauer des Artikels;Zeitdauerangabe;4;2;4;2;4;3;4;2;3;2
Ja;Weiblich;55;Ja;Nordrhein-Westfalen;Verheiratet;Mit Ihrem Partner;Doktor;7;Zeitung (physich), Online (digital), Radio, Fernseher;Nein;0804XA;Die Stimme war angenehm und klar. Leider konnte der Sprachassistent einige Befehle nicht verstehen.;2;2;BVB, Celebrities, Stars, Königin Margarethe;2;4;3;3;2;5;2;3;Der Sprachassistent sollte zur richtigen Nachricht zurückspringen.;Nachrichten aus der Regenbogenpresse oder auch Nachrichten zu einem Sonderthema, auch wenn die Nachrichten weiter zurückliegen.;3;1;2;1;3;5;5;1;5;1
Ja;Weiblich;21;Ja;Berlin;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);6;Online (digital), Radio;Nein;0904MF;"Ist eine gute Idee, man hört besser zu, weil man sich Nachrichten selbst aussucht
Hätte mich über fröhlichere Nachrichten gefreut, nicht nur normale Nachrichten";4;4;Veranstaltungen in meiner Nähe;5;3;3;3;4;5;5;3;Mehr Nachrichten aus der Umgebung und auch positivere Nachrichten. Wie zum Beispiel Nachrichten über Veranstaltungen, Konzerte etc.;Würde es gerne in meiner Alexa nutzen;4;2;5;1;5;1;5;1;4;1
Ja;Männlich;21;Ja;Bayern;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);0;Online (digital);Ja;09.04JC;"pro: schlägt eine auswahl an artikeln vor und kann bei bedarf noch mehr artikel zur auswahl stellen; contra: kein wetter, versteht mich selten, schwere begriffe wie ukraine odet league of legends werden nicht verstanden, reagiert nur auf stichwörter wie bundeslige und fußball zusammen, liest nicht gut vor bei Zeichensetzung und betonung";1;3;siehe kritik;2;1;4;4;2;5;4;2;siehe kritik;zwischenmenschliche antworten die nichts mit nachrichten zu tun haben;1;1;5;1;2;2;5;1;5;1
Ja;Weiblich;22;Ja;Nordrhein-Westfalen;Ledig;Alleine;Gymnasium (Abitur);2;Online (digital);Ja;0904HH;"Kann mir viele Nachrichten sagen und beantwortet schnell meine Fragen. Hat auch zu spezifischen Themen Nachrichten. Man muss nichts lesen. Liest einem vor. Man muss nicht sich selber was angucken.
Paar mal wurde ich falsch verstanden.";5;4;nichts;4;3;3;3;5;5;4;4;Mehr Möglichkeiten für normale Fragen, abseits von Nachrichten. Mehr Formulierungen zulassen.;Fußballergebnisse abfragen können.;4;1;5;1;5;2;5;1;5;1
Ja;Weiblich;83;Ja;Hamburg;Verheiratet;Mit Ihrem Partner;Gymnasium (Abitur);7;Zeitung (physich), Online (digital), Fernseher;Nein;0904EE;Schon gut dass er Antworten auf die Fragen gibt. Die Antworten waren korrekt.;4;5;nein;5;4;3;4;2;5;4;5;nein;nein;4;1;5;3;3;4;5;1;2;2
Ja;Männlich;81;Ja;Hamburg;Verheiratet;Mit Ihrem Partner;Berufsausbildung;7;Zeitung (physich), Online (digital), Radio, Fernseher;Nein;0904HN;Die präzise Antwort auf die gestellte Frage war nicht ausreichend. Themen müssten kürzer und pregnanter gestellt werden.;3;2;nichts;3;3;3;4;3;4;3;3;nichts;Verinfachte Stichworte.;2;3;2;4;2;3;2;4;2;4
Ja;Männlich;48;Ja;Hessen;Geschieden;Mit Ihrem Partner;Master;7;Online (digital), Fernseher;Ja;1004VH;"PRO: Gute Erkennung der Anfragen. 

PRO: Zeitnahe Antwort auf Anfragen

CONTRA: Auf die erste Frage ""Was sind die aktuellen Nachrichten"" werden die nicht direkt die aktuellen Nachrichten geliefert.

CONTRA: Auf die Frage nach inländischen Nachrichten werden auf die Folgefrage ""weitere Nachrichten"" fälschlicherweise auch Nachrichten aus dem Ausland wie bspw. Hauseinsturz in Marseille zurückgeliefert. Analog gilt dies für Nachrichten im Ausland. 

CONTRA: Quellen des Nachrichtenbezugs unklar. Ich hatte zufälligerweise die Tagesschau-Seite auf. Wie es scheint, handelt es sich bei der Tagesschau um eine dieser Quellen. 

CONTRA: Wiederholen der Antwort ist nicht möglich. ";3;3;nicht vorgekommen;3;3;3;4;4;3;2;1;"Wie es scheint funktioniert die State-Machine nicht korrekt, weil beispielsweise bei der Suche nach Nachrichten im Inland auch Nachrichten im Ausland und umgekehrt zurückgeliefert werden. 

Bei den Antworten muss man sehr konzentriert zu hören, um zu wissen, was man als nächste Aktion machen kann. Eine Wiederholen-Funktion gibt es leider nicht. ";Bei der Kommunikation mit dem Sprachassistenten muss ich nicht so konzentriert zu hören, um zu wissen, was ich als nächste Aktion machen kann bzw. darf.;2;3;2;2;2;4;3;3;2;3
Ja;Weiblich;48;Ja;Hamburg;Verheiratet;Mit Ihrem Partner;Doktor;7;Zeitung (physich), Online (digital), Radio, Fernseher;Nein;1004MT;"Interessante Nachrichtenauswahl und auch sehr gelungen, dass ich die Nachrichten selber auswählen kann.
Manchmal kommt keine Antwort zurück.";5;5;eigentlich nichts;4;4;3;3;4;5;3;3;Ich würde gerne mehr Nachrichten auf einmal hören und dann nicht nur den Titel sondern auch eine kurze Erläuterung.;siehe Verbesserungsvorschlag;4;1;5;2;5;2;5;1;4;1
Ja;Weiblich;54;Ja;Berlin;Verheiratet;Mit Ihrem Partner;Gymnasium (Abitur);6;Online (digital), Radio, Fernseher;Nein;1004KK;"Nachteil: Er kennt den britischen Ministerpräsidenten nicht
Vorteil: Einfach zu benutzen, habe schnell einen guten Überblick bekommen";5;4;Ja, bzgl. des britischen Ministerpräsidenten Sunak habe ich nicht;4;4;3;3;5;5;4;4;Informationen über den britischen Ministerpräsidenten einbauen;Den ausgesprochenen Inhalt nicht nur in verbaler Form sondern auch gleichzeitig als schriftlichen Text bekommen ;4;1;5;1;5;1;5;1;5;1
